supplier,unit_cost,quantity,region
Globex,58.13285802642469,380.0,EU
Globex,63.406080712692834,98.0,US
Acme Corp,63.68310838131919,182.0,US
Initech,55.11286722242924,233.0,EU
Globex,51.33836967534318,249.0,APAC
Globex,53.44207041309832,22.0,APAC
Initech,61.26120543583021,273.0,US
Globex,52.05385124325693,77.0,APAC
Acme Corp,60.242340945253716,371.0,US
Acme Corp,54.52114801778364,341.0,APAC
Acme Corp,49.246125628948924,461.0,APAC
Initech,48.41500506577724,372.0,APAC
Acme Corp,63.155862317234785,183.0,US
Acme Corp,46.10530777781435,483.0,APAC
Globex,64.6221885018606,206.0,US
Initech,49.41437566313951,163.0,EU
Globex,49.617570527525416,452.0,EU
Initech,53.336752019504004,185.0,US
Initech,58.23975667909118,39.0,US
Acme Corp,57.755448919255635,235.0,APAC
Initech,55.620739927886746,398.0,EU
Globex,55.22207906686084,95.0,EU
Globex,49.34998617583641,232.0,EU
Acme Corp,46.841884648633396,65.0,EU
Globex,47.96601796826946,343.0,APAC
Initech,69.92166004898961,238.0,US
Globex,55.439537085854596,165.0,APAC
Acme Corp,52.48171085580204,114.0,APAC
Globex,56.22032083800122,282.0,EU
Initech,52.05616658802222,335.0,US
Initech,54.41070654920946,470.0,US
Acme Corp,53.01790989206295,219.0,APAC
Initech,55.03559739271581,81.0,APAC
Initech,59.84322448676032,416.0,US
Acme Corp,60.07858090494421,315.0,US
Initech,60.67330407243199,350.0,US
Globex,61.266510871076974,49.0,US
Globex,57.47126163364219,156.0,APAC
Globex,55.835747790495965,384.0,APAC
Initech,52.79940192139435,416.0,US
Initech,49.089217377141765,218.0,APAC
Initech,62.30313734528093,402.0,US
Initech,50.81462405321976,421.0,EU
Initech,61.73528556826623,194.0,EU
Acme Corp,46.24985715243126,449.0,APAC
Acme Corp,59.94018230508284,144.0,APAC
Initech,63.12594326722181,120.0,US
Globex,59.21291529329078,341.0,US
Acme Corp,64.89887208667962,318.0,US
Acme Corp,62.15291809022332,70.0,US
Globex,44.915511616300165,416.0,APAC
Globex,53.20574316788658,100.0,APAC
Acme Corp,58.769335802572556,402.0,US
Acme Corp,50.656963711277946,4.0,APAC
Acme Corp,54.58988361060449,398.0,EU
Globex,49.98491472952903,393.0,EU
Acme Corp,56.79125064293426,390.0,EU
Globex,48.78295878039811,332.0,US
Globex,49.133736899583326,236.0,APAC
Globex,51.21412739506359,352.0,US
Initech,58.915082134544186,139.0,US
Globex,58.19066360443578,390.0,US
Initech,58.72309349820098,278.0,US
Initech,59.406489724207944,229.0,US
Initech,59.30326051447975,253.0,US
Initech,52.133552962479776,284.0,APAC
Globex,52.585855832227566,19.0,APAC
Globex,66.4273985635962,70.0,US
Acme Corp,65.19066388154194,123.0,US
Globex,60.38015175062441,58.0,EU
Acme Corp,54.826133771005054,220.0,APAC
Initech,51.505672003234636,334.0,APAC
Initech,58.60029321092427,327.0,APAC
Acme Corp,54.93162331578996,236.0,EU
Initech,50.23166712666169,427.0,EU
Acme Corp,56.32588967857049,283.0,US
Initech,52.07094931768866,40.0,APAC
Acme Corp,44.3821128495957,382.0,APAC
Globex,55.70481074707632,287.0,US
Globex,50.37727847339171,317.0,APAC
Initech,60.67718051399086,283.0,US
Globex,51.664568234208645,277.0,APAC
Initech,53.01785889028115,46.0,APAC
Initech,63.00073825607985,280.0,US
Acme Corp,55.01765068920379,397.0,EU
Initech,61.32140677031193,152.0,US
Initech,51.36833542134115,301.0,EU
Globex,58.8737116833192,16.0,APAC
Initech,62.27189434994442,174.0,US
Initech,49.84749096233981,218.0,EU
Initech,46.90807897606238,491.0,APAC
Initech,63.888143248297524,108.0,US
Globex,58.64122085404899,138.0,US
Acme Corp,56.67937357134977,204.0,EU
Initech,44.26071005896884,496.0,EU
Globex,56.82474440004869,426.0,EU
Globex,69.63179994023773,18.0,US
Acme Corp,53.64993066278814,117.0,APAC
Acme Corp,53.233817351356294,411.0,EU
Acme Corp,54.76031213680051,30.0,US
Initech,43.83460935893867,427.0,APAC
Acme Corp,53.00488431939148,141.0,APAC
Acme Corp,46.551467914292566,458.0,EU
Initech,64.91758593052263,147.0,US
Globex,63.64918612299197,217.0,EU
Globex,48.67354112228279,331.0,EU
Initech,60.370146383659225,64.0,US
Globex,55.38179347323972,278.0,EU
Acme Corp,58.38446459399848,253.0,APAC
Initech,52.27050274984038,392.0,US
Acme Corp,48.036144489227766,498.0,APAC
Globex,65.64519540325243,332.0,US
Initech,46.292963407282926,205.0,APAC
Initech,50.81572317261667,203.0,EU
Globex,59.12557357415665,209.0,US
Initech,46.77764634857836,407.0,APAC
Globex,65.03040515101458,161.0,US
Globex,59.28663887928335,84.0,EU
Acme Corp,54.560151761431484,167.0,US
Globex,58.82164161160324,12.0,APAC
Globex,53.629844450577394,53.0,APAC
Initech,61.197788867764956,45.0,APAC
Acme Corp,49.76964985425232,386.0,EU
Initech,50.23353886759106,361.0,EU
Initech,55.20452644321813,348.0,EU
Initech,55.43170592934775,231.0,APAC
Globex,51.632397455744815,358.0,APAC
Acme Corp,56.63761073046077,81.0,US
Acme Corp,53.15213775971301,450.0,EU
Initech,55.8427677933024,251.0,US
Initech,56.56110444635305,469.0,US
Globex,49.76506225840376,77.0,APAC
Acme Corp,61.80528859017225,249.0,US
Acme Corp,46.81360438277051,348.0,APAC
Globex,49.909461398957916,248.0,EU
Globex,63.395280545929594,223.0,US
Acme Corp,59.306578086707006,83.0,EU
Initech,53.72409279442841,191.0,EU
Globex,60.404715396084256,120.0,APAC
Acme Corp,55.217390313721026,151.0,EU
Acme Corp,50.28843069588373,342.0,APAC
Globex,51.77565379071441,315.0,APAC
Initech,48.46133626348554,303.0,APAC
Initech,58.26454517359972,181.0,EU
Globex,53.286190611341105,479.0,US
Acme Corp,57.47344671113516,44.0,EU
Initech,67.03057055921336,171.0,US
Globex,54.65765578995027,59.0,EU
Acme Corp,43.94887867628204,170.0,APAC
Globex,56.843747980047574,480.0,EU
Acme Corp,71.53731181042801,183.0,US
Acme Corp,49.29892293820267,454.0,EU
Globex,44.292647837519254,248.0,APAC
Initech,48.75806409521623,350.0,APAC
Initech,59.27510820063733,229.0,US
Initech,56.58030463591098,133.0,EU
Globex,47.90644783231261,382.0,EU
Acme Corp,57.63824456990591,484.0,US
Globex,64.45802950114434,132.0,US
Initech,51.24237752072277,389.0,US
Acme Corp,57.176786926779556,131.0,APAC
Initech,58.05073992778357,358.0,APAC
Initech,49.807841329748236,394.0,APAC
Acme Corp,51.150699351725976,225.0,APAC
Initech,49.07198714236991,368.0,APAC
Initech,64.74102706787424,136.0,US
Acme Corp,49.27731357797113,40.0,APAC
Acme Corp,64.67756281190923,49.0,US
Globex,53.95814420214876,224.0,EU
Initech,58.371300051824186,451.0,EU
Acme Corp,58.023309064780165,64.0,EU
Globex,67.11155044447807,228.0,US
Acme Corp,53.545037208871975,352.0,US
Globex,57.32903666721116,101.0,APAC
Globex,59.057601055164916,361.0,US
Acme Corp,58.463811008540866,153.0,US
Initech,49.62958445854776,404.0,APAC
Initech,64.0500753473264,290.0,US
Initech,50.2448331828536,273.0,APAC
Acme Corp,48.452149403320945,89.0,APAC
Acme Corp,55.289748694090214,232.0,EU
Acme Corp,52.83030762082995,428.0,US
Globex,63.430636245344466,10.0,US
Acme Corp,57.093648921259515,379.0,US
Initech,48.25739113593793,246.0,EU
Initech,51.337366642717285,360.0,US
Initech,55.308267342102106,331.0,EU
Acme Corp,58.589125215321275,216.0,US
Acme Corp,46.64102263271773,155.0,EU
Initech,61.85937614643254,314.0,US
Acme Corp,56.68947902109696,70.0,APAC
Globex,56.30450070385406,292.0,US
Initech,58.77267915576702,48.0,US
Acme Corp,61.84323158525735,325.0,US
Acme Corp,52.117402490241716,314.0,APAC
Acme Corp,73.67040913073629,43.0,US
Acme Corp,54.12075439489975,378.0,EU
Acme Corp,57.390812565048066,208.0,EU
Initech,51.47228827956574,393.0,EU
Globex,59.84710346880316,21.0,APAC
Initech,57.70034080499262,90.0,APAC
Initech,60.06690003426078,247.0,EU
Initech,53.03470832545086,94.0,APAC
Acme Corp,59.95837010822415,165.0,US
Acme Corp,48.48358731635208,330.0,APAC
Initech,61.703206884715954,73.0,EU
Acme Corp,56.21349776118693,339.0,APAC
Acme Corp,54.124638027402796,52.0,APAC
Initech,53.540905088827635,88.0,APAC
Initech,52.37630889547919,294.0,APAC
Initech,51.09695399994839,396.0,EU
Initech,67.08821461255957,86.0,US
Acme Corp,47.99289083752382,150.0,EU
Initech,52.45317981233242,462.0,US
Initech,43.99033466415421,494.0,APAC
Initech,49.91857595045542,290.0,US
Initech,56.66544622252478,224.0,US
Initech,57.8593755366163,174.0,US
Globex,53.07558138192468,306.0,EU
Acme Corp,58.55186356664105,295.0,EU
Globex,53.05975739523719,148.0,APAC
Acme Corp,55.636745118915385,12.0,EU
Acme Corp,63.25218183514588,76.0,US
Acme Corp,59.6166944857654,479.0,US
Initech,56.91616473554038,209.0,US
Globex,51.537700464314206,241.0,EU
Globex,54.55419583709689,234.0,APAC
Initech,51.293855537076794,391.0,EU
Globex,58.9299387628379,33.0,APAC
Globex,64.10541283281881,42.0,US
Acme Corp,65.04665459235827,138.0,US
Initech,47.99968754383744,243.0,APAC
Globex,58.25166139684693,335.0,US
Acme Corp,59.25723994254737,245.0,US
Initech,50.71643630358348,221.0,EU
Initech,41.386088208525244,468.0,APAC
Acme Corp,58.12299614109865,81.0,APAC
Acme Corp,57.87619047112809,286.0,US
Acme Corp,47.49087887341068,271.0,APAC
Acme Corp,51.87528425230667,237.0,APAC
Acme Corp,53.45207542939721,403.0,APAC
Initech,45.19704861851231,134.0,APAC
Globex,49.4934452403867,476.0,US
Initech,49.98845423241893,166.0,APAC
Initech,65.40471546688131,272.0,US
Globex,52.93034793167718,260.0,APAC
Globex,54.569268961844905,425.0,EU
Acme Corp,48.03935632349508,220.0,APAC
Acme Corp,52.681856498917895,142.0,EU
Globex,61.57125486689084,11.0,EU
